"Type","KeyCite Treatment","KeyCite URL","Title","Document URL","Court Line","Filed Date","Citation","Cite Caveat","Parallel Cite","Docket Num","Summary","Search Snippet 1","Search Snippet 2",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I5e5e32c706af11e080558336ea473530&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Ahern v. Shinseki","https://www.westlaw.com/Document/I5e5e32c706af11e080558336ea473530/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, First Circuit.","December 13, 2010","629 F.3d 49","","2010 WL 5060845","=""09-1985""","LABOR AND EMPLOYMENT - Discrimination. Female employees did not suffer retaliation.","...contract technologists. Leaving to one side that these numbers lack statistical significance, 3 the plaintiffs' claim is again undone by their failure...","...plaintiffs provided nothing to show that this small disparity was statistically significant. More importantly, they failed to present the figures in a...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=If891fa7f0af511e6a795ac035416da91&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Milward v. Rust-Oleum Corp.","https://www.westlaw.com/Document/If891fa7f0af511e6a795ac035416da91/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, First Circuit.","April 25, 2016","820 F.3d 469","","2016 WL 1622620","=""13-2132""","PRODUCTS LIABILITY - Experts. Court reasonably rejected expert's relative risk testimony in toxic tort action against manufacturer of benzene-containing paint.","...her statements their plain meaning. FN3. Likewise, in discussing the statistical significance of the reports, Dr. Butler seemingly minimized her ability to...","...to spotlight other studies of the same caliber showing a statistically significant increased risk of leukemia among workers cumulatively exposed to benzene...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Icb512e3f5d3611e5b86bd602cb8781fa&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Howe v. City of Akron","https://www.westlaw.com/Document/Icb512e3f5d3611e5b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Sixth Circuit.","September 17, 2015","801 F.3d 718","","2015 WL 5446917","13-4268, 13-4172, 14-3352","LABOR AND EMPLOYMENT - Discrimination. District court abused its discretion in excluding firefighters' expert's final back-pay calculations.","...The Trial The Plaintiffs and Akron presented evidence about the statistical significance of the disparities between the promotion of each protected group...","...various groups who went through the promotion process were not statistically significant. Second, Akron asserted that pass rates were the appropriate measure...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I50ccdcb5ca3411e3a795ac035416da91&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Braintree Laboratories, Inc. v. Novel Laboratories, Inc.","https://www.westlaw.com/Document/I50ccdcb5ca3411e3a795ac035416da91/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Federal Circuit.","April 22, 2014","749 F.3d 1349","","2014 WL 1584451","2013-1438","PATENTS - Medical Devices and Procedures. Patent was not indefinite based on district court's use of the term copious in construction of the patent term purgation.","...range? Clinical significance can sometimes refer to a measure of statistical significance and other times to a measure of deviation from normal...","...Is the patient population everyone who takes the drug?  A statistically significant number of people who take the drugwhich would be...",
"Cases","","","Ernst v. City of Chicago","https://www.westlaw.com/Document/I512b4f007ed711e6b63ccfe393a33906/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Seventh Circuit.","September 19, 2016","837 F.3d 788","","2016 WL 4978377","15-2030, 14-3783","LABOR AND EMPLOYMENT - Discrimination. City failed to show that its physical skills testing for paramedic positions was job-related and consistent with business necessity.","...and the three work samples exceeded the .01 level of statistical significance. This means there was a 99% probability that the results...","...carry, stair-chair push, and stretcher lift. There is a statistically significant correlation between these physical skills and these work samples. In...",
"Cases","","","U.S. v. City of New York","https://www.westlaw.com/Document/Iee608c4bbc7011e2a555d241dae65084/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Second Circuit.","May 14, 2013","717 F.3d 72","","2013 WL 1955782","11-5113-CV L, 12-491-CV XAP","LABOR AND EMPLOYMENT - Discrimination. City adequately rebutted firefighters' prima facie case of discriminatory treatment.","...inaccurate, for example, infected with arithmetic errors, or lacking in statistical significance, for example, based on too small a sample. But the...","...a pass/fail basis and the rank order processing yielded  statistically significant adverse effects on black candidates, id. at 29 , but the...",
"Cases","","","U.S. v. Brennan","https://www.westlaw.com/Document/Id9a35175774611e0a34df17ea74c323f/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Second Circuit.","May 05, 2011","650 F.3d 65","","2011 WL 1679850","08-5171-CV(L), 08-5172-CV(XAP), 08-5173-CV-(XAP), 08-5375-CV-(XAP), 08-5149-CV (CON), 08-4639-CV (CON)","EDUCATION - Labor and Employment. School board could not rely on affirmative action defense to disparate-treatment claims under Title VII.","...on a report from two statisticians, who concluded that the statistical significance of the disparities in passage rates between white, black, and...","...overall labor pool.  Dr. Ashenfelter found that the differences were statistically significant at the 5% level, and for some groups the probability...",
"Cases","","","Kuyat v. BioMimetic Therapeutics, Inc.","https://www.westlaw.com/Document/Ic8148265b69011e381b8b0e9e015e69e/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Sixth Circuit.","March 28, 2014","747 F.3d 435","","2014 WL 1259607","=""13-5602""","SECURITIES REGULATION - Fraud. Investors' complaint alleging securities fraud did not adequately plead facts giving rise to strong inference of scienter.","...when an mITT population was analyzed (i.e., the trial produced statistically significant results), but not when the analysis was conducted on the...","...FDA had privately communicated that it expected BioMimetic to obtain statistically significant results based on an analysis of the ITT population, but...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I786e8a87ff2711dc8dba9deb08599717&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Masters v. GlaxoSmithKline","https://www.westlaw.com/Document/I786e8a87ff2711dc8dba9deb08599717/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Second Circuit.","March 26, 2008","271 Fed.Appx. 46","","2008 WL 833085","06-5140-CV","SECURITIES REGULATION - Fraud. Drug manufacturer's alleged misrepresentation of safety of its drugs was not material.","...did not amount to securities fraud, where there was no statistically significant evidence of an adverse effect, and, even assuming that non-disclosed test results were statistically significant, they were financially immaterial. Securities Exchange Act of 1934, §...","...thus need not be disclosedunless those reports (1) show statistically significant evidence of an adverse effect, (2) establish that the adverse...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=If5ca7ac0d59011e1b60ab297d3d07bc5&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Planned Parenthood Minnesota, North Dakota, South Dakota v. Rounds","https://www.westlaw.com/Document/If5ca7ac0d59011e1b60ab297d3d07bc5/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Eighth Circuit.","July 24, 2012","686 F.3d 889","","2012 WL 3000615","09-3231, 09-3233, 09-3362","FAMILY LAW - Abortion. South Dakota statute requiring suicide advisory to patient seeking abortion did not impose undue burden or compel speech.","...to patients seeking abortion procedure, modified only immediately preceding phrase  statistically significant risk factors, and not phrase all known medical risks of...","...was not unconstitutionally vague, but that a requirement to disclose  statistically significant risk factors, see id., was. Planned Parenthood appealed the district...",
"Cases","Red KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I3e7536d0a17a11e6ac07a76176915fee&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Feldman v. Arizona Secretary of State's Office","https://www.westlaw.com/Document/I3e7536d0a17a11e6ac07a76176915fee/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Ninth Circuit.","November 02, 2016","842 F.3d 613","","2016 WL 6472060","16-16865","GOVERNMENT - Elections. Arizona law requiring voters to cast ballots at precinct polling station at which they registered to vote did not violate Voting Rights Act (VRA).","...state. Dissenting, Chief Judge Thomas stated that plaintiffs showed a statistically significant relationship between Arizona's practice of declining to count legitimate out...","...which the citizen is entitled, qualified, and eligible to vote. Statistically significant evidence shows that this practice disproportionately and adversely impacts minority...",
"Cases","","","McManaway v. KBR, Incorporated","https://www.westlaw.com/Document/I381a8710141911e7bc7a881983352365/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Fifth Circuit.","March 27, 2017","852 F.3d 444","","2017 WL 1149108","15-20641","TORTS - Experts. Studies regarding exposure to sodium dichromate were not scientifically reliable to establish causation, as required to avoid summary judgment.","...expert testimony, studies relied on by experts did not reflect statistically significant doubling of risk of injuries, and differential diagnosis did not...","...caused personal injuries, the studies are required to show a statistically significant doubling of the risk of developing the alleged injuries. [17...",
"Cases","","","Midwest Fence Corporation v. United States Department of Transportation","https://www.westlaw.com/Document/I9d8a1010a2ff11e6afc8be5a5c08bae9/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Seventh Circuit.","November 04, 2016","840 F.3d 932","","2016 WL 6543514","=""15-1827""","CIVIL RIGHTS - Equal Protection. DOT's disadvantaged business entities (DBE) program was narrowly tailored to achieve its compelling interest in remedying past systemic discrimination.","...regression analysis of other non-highway construction industries that found  statistically significant disparities in the likelihood of owning a business for minorities and females,  statistically significant disparities in business earnings for minorities, females, and persons with disabilities, and statistically significant disparities in the likelihood of being denied a business loan...","...those areas. The study then determined whether there was a statistically significant under-utilization of DBEs by calculating the dollars each group...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I262e03d3e6d311dc8dba9deb08599717&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","McClain v. Lufkin Industries, Inc.","https://www.westlaw.com/Document/I262e03d3e6d311dc8dba9deb08599717/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Fifth Circuit.","February 29, 2008","519 F.3d 264","","2008 WL 542165","05-41417","LABOR AND EMPLOYMENT - Discrimination. Court properly found a statistically significant disparate impact in promotions.","...the district court did not clearly err in finding a statistically significant disparate impact in promotions; (5) the district court neither...","...of Evidence 78 1548 k. Promotion or transfer. In establishing statistically significant disparate impact in promotions, for purposes of employees' Title VII...",
"Cases","Red KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Iab160ef3d57e11e0a9e5bdc02ef2b18e&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Planned Parenthood Minn. v. Rounds","https://www.westlaw.com/Document/Iab160ef3d57e11e0a9e5bdc02ef2b18e/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Eighth Circuit.","September 02, 2011","653 F.3d 662","","2011 WL 3862585","09-3233, 09-3362, 09-3231","FAMILY LAW - Abortion. Suicide advisory in South Dakota's abortion statute was unconstitutional.","...of §7 that requires doctors to descri[be] [all] statistically significant risk factors to which the pregnant woman would be subjected...","...description of all known medical risks of the procedure and statistically significant risk factors to which the pregnant woman would be subjected...",
"Cases","","","Tyco Healthcare Group LP v. Mutual Pharmaceutical Co., Inc.","https://www.westlaw.com/Document/I175eaf989cc011e089b3e4fa6356f33d/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Federal Circuit.","June 22, 2011","642 F.3d 1370","","2011 WL 2463749","2010-1513","PATENTS - Drugs. Patent for 7.5 milligram (mg) dosage of sleep-inducing drug was invalid as obvious.","...are effective for treatment of insomnia.  The study found a statistically significant increase in total sleep time and decrease in sleep onset...","...30 mg doses of temazepam The experimental results revealed no statistically significant change in total sleep time or sleep onset latency after...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ie811c224b41e11deabdfd03f2b83b8a4&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","The Committee Concerning Community Improvement v. City of Modesto","https://www.westlaw.com/Document/Ie811c224b41e11deabdfd03f2b83b8a4/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Ninth Circuit.","October 08, 2009","583 F.3d 690","","2009 WL 3208728","07-16715, 07-17407","REAL PROPERTY - Discrimination. Fair Housing Act (FHA) applied to post-acquisition discrimination claims of Latino neighborhood residents.","...and Title VI of Civil Rights Act, including evidence of statistically significant percentage of Latinos in neighborhoods excluded from MTSA as compared...","...services in Latino unincorporated island neighborhoods surrounded by city was statistically significant, there was no disparity in actual access to sewer services...",
"Cases","","","Securities & Exchange Commission v. Bonan Huang","https://www.westlaw.com/Document/I3f3cde101e7511e7bc7a881983352365/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Third Circuit.","April 10, 2017","684 Fed.Appx. 167","","2017 WL 1315664","=""16-2390""","CRIMINAL JUSTICE - Securities. Securities and Exchange Commission presented sufficient evidence in insider trading enforcement action to show that nonpublic data from employer was material.","...for 132 of the companies, the sales data had a statistically significant relationship to the companies' total revenues. This correlation indicated that...","...his correlation analysis indicated that the Capital One data had statistically significant predictive power for only 132 out of the 226 companies...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ic8edc033445b11ddb595a478de34cd72&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Planned Parenthood Minnesota, North Dakota, South Dakota v. Rounds","https://www.westlaw.com/Document/Ic8edc033445b11ddb595a478de34cd72/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Eighth Circuit.","June 27, 2008","530 F.3d 724","","2008 WL 2550722","=""05-3093""","FAMILY LAW - Abortion. District court abused its discretion by not giving effect to definition of human being in state informed consent statute.","...description of all known medical risks of the procedure and statistically significant risk factors to which the pregnant woman would be subjected...","...of all known medical risks of the procedure and the statistically significant risk factors to which the pregnant woman would be subjected...",
"Cases","","","Kennecott Greens Creek Min. Co. v. Mine Safety and Health Admin.","https://www.westlaw.com/Document/I6fa222a2b85111dbb38df5bc58c34d92/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, District of Columbia Circuit.","February 09, 2007","476 F.3d 946","","2007 WL 420125","01-1046, 05-1255, 05-1312, 01-1124, 05-1291, 05-1314, 01-1146, 05-1296, 06-1184, 06-1194, 06-1223, 06-1204, 06-1225, 06-1205","LABOR AND EMPLOYMENT - Occupational Safety. Rules regulating diesel particulate matter in certain mines satisfied statutory feasibility requirements.","...potential health risks; substantial body of scientific evidence identified a statistically significant causal connection between DPM exposure and lung cancer risk, miners...","...And five of the six negative studies did not have statistically significant results, whereas 25 of the 41 positive studies did find a statistically significant link between DPM exposure and lung cancer risk. Id. at...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I25fc79cb425911df9988d233d23fe599&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Yorkey v. Diab","https://www.westlaw.com/Document/I25fc79cb425911df9988d233d23fe599/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Federal Circuit.","April 07, 2010","601 F.3d 1279","","2010 WL 1337338","2008-1577","PATENTS - Medical Devices and Procedures. Inventor of patent met burden of establishing prima facie case of actual reduction to practice prior to competing patent application's benefit date.","...or 96%) is generally (but arbitrarily) accepted as definitive of statistical significance.  In the instant appeal, substantially uncorrelated could be synonymous with...","...correlation between s and n is at a minimum, below statistical significance, or uncorrelated. Given the deference that we are required to...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ieb713388263c11dc9b239dfedc9bb45f&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Daytona Grand, Inc. v. City of Daytona Beach, Fla.","https://www.westlaw.com/Document/Ieb713388263c11dc9b239dfedc9bb45f/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Eleventh Circuit.","June 28, 2007","490 F.3d 860","","2007 WL 1851169","06-12022","REAL PROPERTY - Zoning and Planning. Zoning ordinance limiting locations where adult businesses could be located did not violate First Amendment.","...they examined that adult theaters in Daytona Beach had no statistically significant effect on crime rates, and that the City's evidence offered...","...theaters to control areas that did not and found no statistically significant differences in overall rates of crime between study and control...",
"Cases","","","Aventis Pharma S.A. v. Amphastar Pharmaceuticals, Inc.","https://www.westlaw.com/Document/I0d8f4ed321d111dd8dba9deb08599717/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Federal Circuit.","May 14, 2008","525 F.3d 1334","","2008 WL 2039065","2007-1280","PATENTS - Drugs. Evidence of industry practice of clinically-relevant doses could be excluded as irrelevant on inequitable conduct claim.","...EP  144] product and that of the [claimed] mixture is statistically significant. Further, the examiner contended that the first Uzan declaration showed...","...Uzan also provided results from a statistical analysis showing a statistically significant difference between the mean half-life for the claimed compound...",
"Cases","","","E.E.O.C. v. Sterling Jewelers Inc.","https://www.westlaw.com/Document/I65618fd7571511e5b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Second Circuit.","September 09, 2015","801 F.3d 96","","2015 WL 5233636","=""14-1782""","LABOR AND EMPLOYMENT - Discrimination. Courts may review whether EEOC conducted investigation to satisfy pre-suit requirements under Title VII but not sufficiency of investigation.","...found that the company paid and promoted male employees at statistically significant higher rates than similarly situated female employees nationwide, and EEOC...","...by [Sterling] reveals that [Sterling] promoted male employees at a statistically significant, higher rate than similarly situated female employees and that [Sterling] compensated male employees at a statistically significant, higher rate than similarly situated female employees. Witness testimony further...",
"Cases","","","Roberts v. City of Chicago","https://www.westlaw.com/Document/I1e4d7b00f7ba11e590d4edf60ce7d742/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Seventh Circuit.","March 31, 2016","817 F.3d 561","","2016 WL 1257821","=""15-1963""","LABOR AND EMPLOYMENT - Discrimination. City failed to hire two applicants because of consequence of their disabilities, not because of their disabilities themselves.","...failed to allege that city's hiring process caused relevant and statistically significant disparity between disabled and non-disabled applicants. Affirmed. West Headnotes...","...failed to allege that city's hiring process caused relevant and statistically significant disparity between disabled and non-disabled applicants, as required to...",
"Cases","","","Annex Books, Inc. v. City of Indianapolis, Ind.","https://www.westlaw.com/Document/Id537d497cd5e11dfb5fdfcf739be147c/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Seventh Circuit.","October 01, 2010","624 F.3d 368","","2010 WL 3811317","=""09-4156""","LITIGATION - Injunction. Court did not abuse its discretion in granting adult bookstore owners' motion for preliminary injunction enjoining enforcement of ordinance.","...sufficiently small that we doubt that the standard tests of statistical significance have been satisfied.  But these data do imply that the...","",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I6ef7ffec37ab11e5a807ad48145ed9f1&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Burgis v. New York City Dept. of Sanitation","https://www.westlaw.com/Document/I6ef7ffec37ab11e5a807ad48145ed9f1/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Second Circuit.","July 31, 2015","798 F.3d 63","","2015 WL 4590507","=""14-1640""","Background: Employees of city department of sanitation brought putative class action against city and commissioner of the department, alleging discrimination on the basis of race and national origin in the department's promotional practices in violation of the Equal Protection Clause, § 1981, Title VII, and state laws. The United States District...","...based on statistics alone, the statistics must not only be statistically significant in the mathematical sense, but they must also be of...","...based on statistics alone, the statistics must not only be statistically significant in the mathematical sense, but they must also be of...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I6c0b56cb028211deb6a3a099756c05b7&rank=0&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","American Farm Bureau Federation v. E.P.A.","https://www.westlaw.com/Document/I6c0b56cb028211deb6a3a099756c05b7/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, District of Columbia Circuit.","February 24, 2009","559 F.3d 512","","2009 WL 437050","06-1416, 06-1411, 06-1417, 06-1410, 06-1415","ENVIRONMENTAL LAW - Clean Air. EPA had authority to revoke annual coarse particulate matter national ambient air quality standard.","...short-term exposure.  Because some studies did not find a statistically significant association between short-term exposure and health effects when the...","...although the association in the 24Cities Study was not statistically significant  below 15 g/m 3 , 2006 Final Rule, 71 Fed.Reg...",
"Cases","","","Warrillow v. Qualcomm, Inc.","https://www.westlaw.com/Document/Ib5619b27e6c911dcb595a478de34cd72/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Court of Appeals, Ninth Circuit.","February 28, 2008","268 Fed.Appx. 561","","2008 WL 538923","06-55170","LABOR AND EMPLOYMENT - Discrimination. Verdict in favor of employer in age discrimination suit did not result in manifest miscarriage of justice.","...business. Testimony by employer's statistical expert that there was no statistically significant evidence of widespread discrimination at company assisted jury to understand...","...allowing Qualcomm's statistical expert to testify that there was no statistically significant evidence of widespread discrimination at the company.  The evidence assisted...",
