Title	Document.URL	Court.Line	Citation	Filed.Date	Summary
Ernst v. City of Chicago	https://www.westlaw.com/Document/I512b4f007ed711e6b63ccfe393a33906/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Seventh Circuit.	837 F.3d 788	September 19, 2016	LABOR AND EMPLOYMENT - Discrimination. City failed to show that its physical skills testing for paramedic positions was job-related and consistent with business necessity.
U.S. v. City of New York	https://www.westlaw.com/Document/Iee608c4bbc7011e2a555d241dae65084/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	717 F.3d 72	May 14, 2013	LABOR AND EMPLOYMENT - Discrimination. City adequately rebutted firefighters' prima facie case of discriminatory treatment.
U.S. v. Brennan	https://www.westlaw.com/Document/Id9a35175774611e0a34df17ea74c323f/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	650 F.3d 65	May 05, 2011	EDUCATION - Labor and Employment. School board could not rely on affirmative action defense to disparate-treatment claims under Title VII.
Kuyat v. BioMimetic Therapeutics, Inc.	https://www.westlaw.com/Document/Ic8148265b69011e381b8b0e9e015e69e/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Sixth Circuit.	747 F.3d 435	March 28, 2014	SECURITIES REGULATION - Fraud. Investors' complaint alleging securities fraud did not adequately plead facts giving rise to strong inference of scienter.
Masters v. GlaxoSmithKline	https://www.westlaw.com/Document/I786e8a87ff2711dc8dba9deb08599717/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	271 Fed.Appx. 46	March 26, 2008	SECURITIES REGULATION - Fraud. Drug manufacturer's alleged misrepresentation of safety of its drugs was not material.
Planned Parenthood Minnesota, North Dakota, South Dakota v. Rounds	https://www.westlaw.com/Document/If5ca7ac0d59011e1b60ab297d3d07bc5/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eighth Circuit.	686 F.3d 889	July 24, 2012	FAMILY LAW - Abortion. South Dakota statute requiring suicide advisory to patient seeking abortion did not impose undue burden or compel speech.
Feldman v. Arizona Secretary of State's Office	https://www.westlaw.com/Document/I3e7536d0a17a11e6ac07a76176915fee/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	842 F.3d 613	November 02, 2016	GOVERNMENT - Elections. Arizona law requiring voters to cast ballots at precinct polling station at which they registered to vote did not violate Voting Rights Act (VRA).
McManaway v. KBR, Incorporated	https://www.westlaw.com/Document/I381a8710141911e7bc7a881983352365/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	852 F.3d 444	March 27, 2017	TORTS - Experts. Studies regarding exposure to sodium dichromate were not scientifically reliable to establish causation, as required to avoid summary judgment.
Midwest Fence Corporation v. United States Department of Transportation	https://www.westlaw.com/Document/I9d8a1010a2ff11e6afc8be5a5c08bae9/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Seventh Circuit.	840 F.3d 932	November 04, 2016	CIVIL RIGHTS - Equal Protection. DOT's disadvantaged business entities (DBE) program was narrowly tailored to achieve its compelling interest in remedying past systemic discrimination.
McClain v. Lufkin Industries, Inc.	https://www.westlaw.com/Document/I262e03d3e6d311dc8dba9deb08599717/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	519 F.3d 264	February 29, 2008	LABOR AND EMPLOYMENT - Discrimination. Court properly found a statistically significant disparate impact in promotions.
Planned Parenthood Minn. v. Rounds	https://www.westlaw.com/Document/Iab160ef3d57e11e0a9e5bdc02ef2b18e/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eighth Circuit.	653 F.3d 662	September 02, 2011	FAMILY LAW - Abortion. Suicide advisory in South Dakota's abortion statute was unconstitutional.
Tyco Healthcare Group LP v. Mutual Pharmaceutical Co., Inc.	https://www.westlaw.com/Document/I175eaf989cc011e089b3e4fa6356f33d/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	642 F.3d 1370	June 22, 2011	PATENTS - Drugs. Patent for 7.5 milligram (mg) dosage of sleep-inducing drug was invalid as obvious.
The Committee Concerning Community Improvement v. City of Modesto	https://www.westlaw.com/Document/Ie811c224b41e11deabdfd03f2b83b8a4/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	583 F.3d 690	October 08, 2009	REAL PROPERTY - Discrimination. Fair Housing Act (FHA) applied to post-acquisition discrimination claims of Latino neighborhood residents.
Securities & Exchange Commission v. Bonan Huang	https://www.westlaw.com/Document/I3f3cde101e7511e7bc7a881983352365/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	684 Fed.Appx. 167	April 10, 2017	CRIMINAL JUSTICE - Securities. Securities and Exchange Commission presented sufficient evidence in insider trading enforcement action to show that nonpublic data from employer was material.
Planned Parenthood Minnesota, North Dakota, South Dakota v. Rounds	https://www.westlaw.com/Document/Ic8edc033445b11ddb595a478de34cd72/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eighth Circuit.	530 F.3d 724	June 27, 2008	FAMILY LAW - Abortion. District court abused its discretion by not giving effect to definition of human being in state informed consent statute.
Kennecott Greens Creek Min. Co. v. Mine Safety and Health Admin.	https://www.westlaw.com/Document/I6fa222a2b85111dbb38df5bc58c34d92/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, District of Columbia Circuit.	476 F.3d 946	February 09, 2007	LABOR AND EMPLOYMENT - Occupational Safety. Rules regulating diesel particulate matter in certain mines satisfied statutory feasibility requirements.
Yorkey v. Diab	https://www.westlaw.com/Document/I25fc79cb425911df9988d233d23fe599/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	601 F.3d 1279	April 07, 2010	PATENTS - Medical Devices and Procedures. Inventor of patent met burden of establishing prima facie case of actual reduction to practice prior to competing patent application's benefit date.
Daytona Grand, Inc. v. City of Daytona Beach, Fla.	https://www.westlaw.com/Document/Ieb713388263c11dc9b239dfedc9bb45f/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eleventh Circuit.	490 F.3d 860	June 28, 2007	REAL PROPERTY - Zoning and Planning. Zoning ordinance limiting locations where adult businesses could be located did not violate First Amendment.
Aventis Pharma S.A. v. Amphastar Pharmaceuticals, Inc.	https://www.westlaw.com/Document/I0d8f4ed321d111dd8dba9deb08599717/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	525 F.3d 1334	May 14, 2008	PATENTS - Drugs. Evidence of industry practice of clinically-relevant doses could be excluded as irrelevant on inequitable conduct claim.
E.E.O.C. v. Sterling Jewelers Inc.	https://www.westlaw.com/Document/I65618fd7571511e5b86bd602cb8781fa/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	801 F.3d 96	September 09, 2015	LABOR AND EMPLOYMENT - Discrimination. Courts may review whether EEOC conducted investigation to satisfy pre-suit requirements under Title VII but not sufficiency of investigation.
Roberts v. City of Chicago	https://www.westlaw.com/Document/I1e4d7b00f7ba11e590d4edf60ce7d742/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Seventh Circuit.	817 F.3d 561	March 31, 2016	LABOR AND EMPLOYMENT - Discrimination. City failed to hire two applicants because of consequence of their disabilities, not because of their disabilities themselves.
Annex Books, Inc. v. City of Indianapolis, Ind.	https://www.westlaw.com/Document/Id537d497cd5e11dfb5fdfcf739be147c/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Seventh Circuit.	624 F.3d 368	October 01, 2010	LITIGATION - Injunction. Court did not abuse its discretion in granting adult bookstore owners' motion for preliminary injunction enjoining enforcement of ordinance.
Burgis v. New York City Dept. of Sanitation	https://www.westlaw.com/Document/I6ef7ffec37ab11e5a807ad48145ed9f1/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	798 F.3d 63	July 31, 2015	Background: Employees of city department of sanitation brought putative class action against city and commissioner of the department, alleging discrimination on the basis of race and national origin in the department's promotional practices in violation of the Equal Protection Clause, § 1981, Title VII, and state laws. The United States District...
American Farm Bureau Federation v. E.P.A.	https://www.westlaw.com/Document/I6c0b56cb028211deb6a3a099756c05b7/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, District of Columbia Circuit.	559 F.3d 512	February 24, 2009	ENVIRONMENTAL LAW - Clean Air. EPA had authority to revoke annual coarse particulate matter national ambient air quality standard.
Warrillow v. Qualcomm, Inc.	https://www.westlaw.com/Document/Ib5619b27e6c911dcb595a478de34cd72/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	268 Fed.Appx. 561	February 28, 2008	LABOR AND EMPLOYMENT - Discrimination. Verdict in favor of employer in age discrimination suit did not result in manifest miscarriage of justice.
Schechner v. KPIX-TV	https://www.westlaw.com/Document/Id2edff63a9d011e191598982704508d1/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	686 F.3d 1018	May 29, 2012	LABOR AND EMPLOYMENT - Discrimination. Employer was entitled to favorable same-actor inference.
U.S. v. Union Auto Sales, Inc.	https://www.westlaw.com/Document/I5b261cfccdb311e1b343c837631e1747/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	490 Fed.Appx. 847	July 13, 2012	COMMERCIAL LAW - Consumer Credit. Federal government's allegations were sufficient to state claim that automobile dealer violated Equal Credit Opportunity Act.
Zak v. Chelsea Therapeutics Intern., Ltd.	https://www.westlaw.com/Document/If5e06a80cc1211e4b4bafa136b480ad2/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fourth Circuit.	780 F.3d 597	March 16, 2015	SECURITIES REGULATION - Dismissal. Court's error in considering corporation's SEC filings at motion to dismiss stage of securities fraud action was not harmless.
U.S. v. Sayre	https://www.westlaw.com/Document/Id1ab0654861011e0af6af9916f973d19/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	434 Fed.Appx. 622	May 23, 2011	CRIMINAL JUSTICE - Instructions. Defendant was not entitled to jury instruction defining reasonable investor.
Acevedo-Parrilla v. Novartis Ex-Lax, Inc.	https://www.westlaw.com/Document/I293d6d1b130211e2b343c837631e1747/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, First Circuit.	696 F.3d 128	October 10, 2012	LABOR AND EMPLOYMENT - Discrimination. Reasonable statistical inference could be drawn that firings hinted at discriminatory animus.
Cozzarelli v. Inspire Pharmaceuticals Inc.	https://www.westlaw.com/Document/I4890a006c86611ddbc7bf97f340af743/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fourth Circuit.	549 F.3d 618	December 12, 2008	SECURITIES REGULATION - Fraud. Investors failed to state securities fraud claims against biopharmaceutical company and its directors.
Burst v. Shell Oil Company	https://www.westlaw.com/Document/Iaa59ed40225a11e68e80d394640dd07e/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	650 Fed.Appx. 170	May 23, 2016	PRODUCTS LIABILITY - Experts. Exclusion of physician experts' general causation report and testimony as unreliable in products liability action was not abuse of discretion.
Jordan v. County of Clark	https://www.westlaw.com/Document/Ied9816148d1111dca17de88fefedfab7/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	253 Fed.Appx. 694	November 06, 2007	LABOR AND EMPLOYMENT - Attorney Fees. District court did not abuse its discretion by awarding Title VII plaintiff only 20% of attorney fees he requested.
Pritchard v. Dow Agro Sciences	https://www.westlaw.com/Document/Ia09429d38d8b11e0b63e897ab6fa6920/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	430 Fed.Appx. 102	June 02, 2011	TORTS - Experts. Expert's testimony that pesticide caused illness was unreliable in toxic tort action against pesticide manufacturer.
Koncelik v. Savient Pharmaceuticals, Inc.	https://www.westlaw.com/Document/I22d40f773e0f11e1aa95d4e04082c730/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	448 Fed.Appx. 154	January 13, 2012	Lawrence J. Koncelik appeals from the district court's dismissal of his lawsuit pursuant to Federal Rule of Civil Procedure 12(b)(6). We assume the parties' familiarity with the underlying facts of the case and the issues raised on appeal. We review de novo a district court's dismissal of a complaint pursuant to Rule 12(b)(6), construing the...
Brown v. Nucor Corp.	https://www.westlaw.com/Document/Ibf68617985b411deabded03f2b83b8a4/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fourth Circuit.	576 F.3d 149	August 07, 2009	LABOR AND EMPLOYMENT - Discrimination. Employees satisfied commonality requirement for class certification of hostile work environment claims.
Baylie v. Federal Reserve Bank of Chicago	https://www.westlaw.com/Document/I0d1c6393bcad11db8daaddb37a67e488/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Seventh Circuit.	476 F.3d 522	February 14, 2007	LABOR AND EMPLOYMENT - Discrimination. Statistical evidence did not establish a prima facie case of race discrimination.
State Universities Retirement System of Illinois v. Astrazeneca PLC	https://www.westlaw.com/Document/Idc71e331617611de9988d233d23fe599/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	334 Fed.Appx. 404	June 25, 2009	SECURITIES REGULATION - Fraud. Securities fraud claims were properly dismissed for failure to adequately allege scienter.
In re Amarin Corporation PLC Securities Litigation	https://www.westlaw.com/Document/Ie7661f20408f11e79253a50aa7145720/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Third Circuit.	689 Fed.Appx. 124	May 23, 2017	SECURITIES REGULATION - Fraud. Drug company's optimistic statements as to anticipated completion of FDA approval of triglycerides-reducing drug were not false or misleading.
Alsobrook v. Fannin County, Georgia	https://www.westlaw.com/Document/I59fc61205cce11e7bb97edaf3db64019/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Eleventh Circuit.	--- Fed.Appx. ----	June 28, 2017	Darrell Alsobrook and Michael Kirkland were fired from the Fannin County Road Department. At the time of their terminations, Alsobrook was 52 years old and Kirkland was 47. Because they believe that they were fired based on their age, they sued the County asserting claims under the Age Discrimination in Employment Act (ADEA), 29 U.S.C. §§...
Cetina v. Longworth	https://www.westlaw.com/Document/Ia7aed5a0338411e490d4edf60ce7d742/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Second Circuit.	583 Fed.Appx. 1	September 03, 2014	LABOR AND EMPLOYMENT - Discrimination. Title VII failure to promote claim brought by employee of county public safety department was time barred.
National Ass'n of Mfrs. v. E.P.A.	https://www.westlaw.com/Document/Id5fc54b9d79c11e390d4edf60ce7d742/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, District of Columbia Circuit.	750 F.3d 921	May 09, 2014	ENVIRONMENTAL LAW - Clean Air. Environmental Protection Agency's decision to lower the air quality standard for particulate matter was not unreasonable.
Hoffmann-La Roche Inc. v. Apotex Inc.	https://www.westlaw.com/Document/I8846c4fcc18411e3b58f910794d4f75e/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	748 F.3d 1326	April 11, 2014	PATENTS - Drugs. Selection of once monthly oral dosing regimen would have been obvious.
In re Montgomery	https://www.westlaw.com/Document/I84f58dac993f11e1b343c837631e1747/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Federal Circuit.	677 F.3d 1375	May 08, 2012	PATENTS - Drugs. Patent claims were anticipated by prior art reference describing blood pressure medication trial.
Alaska v. Lubchenco	https://www.westlaw.com/Document/Id92bf453407311e3b48bea39e86d4142/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals for the Ninth Circuit	723 F.3d 1043	July 23, 2013	ENVIRONMENTAL LAW - Endangered Species. National Marine Fisheries Service reasonably relied on subregional population decline of endangered sea lion in limiting fishing.
Alaska Elec. Pension Fund v. Flowserve Corp.	https://www.westlaw.com/Document/I7b1adf4b5f4e11dea82ab9f4ee295c21/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Fifth Circuit.	572 F.3d 221	June 19, 2009	SECURITIES REGULATION - Class Actions. Investors bore burden of establishing loss causation by preponderance of evidence.
U.S. v. Hernandez-Estrada	https://www.westlaw.com/Document/I8bc79024d06611e3a795ac035416da91/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	749 F.3d 1154	April 30, 2014	CRIMINAL JUSTICE - Jury. Absolute disparity test was no longer exclusive analytical measure to be employed in fair cross-section challenges.
U.S. v. Nacchio	https://www.westlaw.com/Document/Icef4c559f44911dcb6a3a099756c05b7/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Tenth Circuit.	519 F.3d 1140	March 17, 2008	CRIMINAL JUSTICE - Experts. Requirement for written summary of expert witness's testimony does not require extensive discussion of methodology.
Alaska v. Lubchenco	https://www.westlaw.com/Document/If3b13b7cf3cd11e2a98ec867961a22de/View/FullText.html?listSource=Search&list=CASE&rank=0&sessionScopeId=cdda0d5fa95db108bac2073dadf4788a5ea330f52e4ed1316b6726b90129d771&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0	United States Court of Appeals, Ninth Circuit.	723 F.3d 1043	July 23, 2013	ENVIRONMENTAL LAW - Endangered Species. National Marine Fisheries Service reasonably relied on subregional population decline of endangered sea lion in limiting fishing.
